SI,Emoji Unicode,Emoji Name,Emoji Character
160,U+3299-U+FE0F,:Japanese_secret_button:,㊙️
161,U+3299,:Japanese_secret_button:,㊙
162,U+1F202-U+FE0F,:Japanese_service_charge_button:,🈂️
163,U+1F202,:Japanese_service_charge_button:,🈂
164,U+1F530,:Japanese_symbol_for_beginner:,🔰
165,U+1F233,:Japanese_vacancy_button:,🈳
166,U+1F1EF-U+1F1EA,:Jersey:,🇯🇪
167,U+1F1EF-U+1F1F4,:Jordan:,🇯🇴
168,U+1F1F0-U+1F1FF,:Kazakhstan:,🇰🇿
169,U+1F1F0-U+1F1EA,:Kenya:,🇰🇪
170,U+1F1F0-U+1F1EE,:Kiribati:,🇰🇮
171,U+1F1FD-U+1F1F0,:Kosovo:,🇽🇰
172,U+1F1F0-U+1F1FC,:Kuwait:,🇰🇼
173,U+1F1F0-U+1F1EC,:Kyrgyzstan:,🇰🇬
174,U+1F1F1-U+1F1E6,:Laos:,🇱🇦
175,U+1F1F1-U+1F1FB,:Latvia:,🇱🇻
176,U+1F1F1-U+1F1E7,:Lebanon:,🇱🇧
177,U+264C,:Leo:,♌
178,U+1F1F1-U+1F1F8,:Lesotho:,🇱🇸
179,U+1F1F1-U+1F1F7,:Liberia:,🇱🇷
180,U+264E,:Libra:,♎
181,U+1F1F1-U+1F1FE,:Libya:,🇱🇾
182,U+1F1F1-U+1F1EE,:Liechtenstein:,🇱🇮
183,U+1F1F1-U+1F1F9,:Lithuania:,🇱🇹
184,U+1F1F1-U+1F1FA,:Luxembourg:,🇱🇺
185,U+1F1F2-U+1F1F4,:Macao_SAR_China:,🇲🇴
186,U+1F1F2-U+1F1EC,:Madagascar:,🇲🇬
187,U+1F1F2-U+1F1FC,:Malawi:,🇲🇼
188,U+1F1F2-U+1F1FE,:Malaysia:,🇲🇾
189,U+1F1F2-U+1F1FB,:Maldives:,🇲🇻
190,U+1F1F2-U+1F1F1,:Mali:,🇲🇱
191,U+1F1F2-U+1F1F9,:Malta:,🇲🇹
192,U+1F1F2-U+1F1ED,:Marshall_Islands:,🇲🇭
193,U+1F1F2-U+1F1F6,:Martinique:,🇲🇶
194,U+1F1F2-U+1F1F7,:Mauritania:,🇲🇷
195,U+1F1F2-U+1F1FA,:Mauritius:,🇲🇺
196,U+1F1FE-U+1F1F9,:Mayotte:,🇾🇹
197,U+1F1F2-U+1F1FD,:Mexico:,🇲🇽
198,U+1F1EB-U+1F1F2,:Micronesia:,🇫🇲
199,U+1F1F2-U+1F1E9,:Moldova:,🇲🇩
200,U+1F1F2-U+1F1E8,:Monaco:,🇲🇨
201,U+1F1F2-U+1F1F3,:Mongolia:,🇲🇳
202,U+1F1F2-U+1F1EA,:Montenegro:,🇲🇪
203,U+1F1F2-U+1F1F8,:Montserrat:,🇲🇸
204,U+1F1F2-U+1F1E6,:Morocco:,🇲🇦
